"DateTime","PMT1"
"20-08-2026 11:22:57",1899
"20-08-2026 12:22:58",1938
"20-08-2026 13:22:59",1869
"20-08-2026 14:23:00",1908
"20-08-2026 15:23:01",1916
"20-08-2026 16:23:02",1808
"20-08-2026 17:23:03",1784
"20-08-2026 18:23:04",1694
"20-08-2026 19:23:05",1607
"20-08-2026 20:23:06",1567
"20-08-2026 21:23:07",1610
"20-08-2026 22:23:08",1574
"20-08-2026 23:23:09",1556
"21-08-2026 00:23:10",1569
"21-08-2026 01:23:11",1599
"21-08-2026 02:23:12",1608
"21-08-2026 03:23:13",1614
"21-08-2026 04:23:14",1520
"21-08-2026 05:23:15",1553
"21-08-2026 06:23:16",1670
"21-08-2026 07:23:17",1660
"21-08-2026 08:23:18",1616
"21-08-2026 09:23:19",1597
"21-08-2026 10:23:20",1577
"21-08-2026 11:23:21",1631
"21-08-2026 12:23:22",1645
"21-08-2026 13:23:23",1581
"21-08-2026 14:23:24",1649
"21-08-2026 15:23:25",1613
"21-08-2026 16:23:26",1699
"21-08-2026 17:23:27",1753
"21-08-2026 18:23:28",1740
"21-08-2026 19:23:29",1697
"21-08-2026 20:23:30",1715
"21-08-2026 21:23:31",1772
"21-08-2026 22:23:32",1680
"21-08-2026 23:23:33",1745
"22-08-2026 00:23:34",1651
"22-08-2026 01:23:35",1707
"22-08-2026 02:23:36",1809
"22-08-2026 03:23:37",1704
"22-08-2026 04:23:38",1681
"22-08-2026 05:23:39",1675
"22-08-2026 06:23:40",1647
"22-08-2026 07:23:41",1690
"22-08-2026 08:23:42",1678
"22-08-2026 09:23:43",1761
"22-08-2026 10:23:44",1669
"22-08-2026 11:23:45",1667
"22-08-2026 12:23:46",1730
"22-08-2026 13:23:47",1628
"22-08-2026 14:23:48",1697
"22-08-2026 15:23:49",1637
"22-08-2026 16:23:50",1685
"22-08-2026 17:23:51",1726
"22-08-2026 18:23:52",1639
"22-08-2026 19:23:53",1704
"22-08-2026 20:23:54",1560
"22-08-2026 21:23:55",1652
"22-08-2026 22:23:56",1688
"22-08-2026 23:23:57",1619
"23-08-2026 00:23:58",1601
"23-08-2026 01:23:59",1605
"23-08-2026 02:24:00",1638
"23-08-2026 03:24:01",1639
"23-08-2026 04:24:02",1744
"23-08-2026 05:24:03",1648
"23-08-2026 06:24:04",1672
"23-08-2026 07:24:05",1737
"23-08-2026 08:24:06",1604
"23-08-2026 09:24:07",1628
"23-08-2026 10:24:08",1571
"23-08-2026 11:24:09",1662
"23-08-2026 12:24:10",1688
"23-08-2026 13:24:11",1595
"23-08-2026 14:24:12",1662
"23-08-2026 15:24:13",1691
"23-08-2026 16:24:14",1653
"23-08-2026 17:24:15",1730
"23-08-2026 18:24:16",1678
"23-08-2026 19:24:17",1697
"23-08-2026 20:24:18",1678
"23-08-2026 21:24:19",1634
"23-08-2026 22:24:20",1656
"23-08-2026 23:24:21",1725
"24-08-2026 00:24:22",1691
"24-08-2026 01:24:23",1675
"24-08-2026 02:24:24",1700
"24-08-2026 03:24:25",1683
"24-08-2026 04:24:26",1758
"24-08-2026 05:24:27",1703
"24-08-2026 06:24:28",1644
"24-08-2026 07:24:29",1638
"24-08-2026 08:24:30",1624
"24-08-2026 09:24:31",1623
"24-08-2026 10:24:32",1745
"24-08-2026 11:24:33",1734
"24-08-2026 12:24:34",1643
"24-08-2026 13:24:35",1674
"24-08-2026 14:24:36",1676
"24-08-2026 15:24:37",1739
"24-08-2026 16:24:38",1657
"24-08-2026 17:24:39",1656
"24-08-2026 18:24:40",1668
"24-08-2026 19:24:41",1709
"24-08-2026 20:24:42",1744
"24-08-2026 21:24:43",1712
"24-08-2026 22:24:44",1738
"24-08-2026 23:24:45",1723
"25-08-2026 00:24:46",1798
"25-08-2026 01:24:47",1694
"25-08-2026 02:24:48",1728
"25-08-2026 03:24:49",1802
"25-08-2026 04:24:50",1744
"25-08-2026 05:24:51",1728
"25-08-2026 06:24:52",1748
"25-08-2026 07:24:53",1739
"25-08-2026 08:24:54",1761
"25-08-2026 09:24:55",1763
"25-08-2026 10:24:56",1857
